; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-10 21:20:10
; Channels (14/16)
; ChannelsType: 32639
; Sample rate: 50 MHz
; Sample count: 2.384186 M
; Sampling time: 2026-05-10 21:19:48.397
SystemTime, Time(s), OE, LAT , A, B, C, D, E, R1, G1, B1, R2, G2, B2, CLK
'2026-05-10 21:19:48.474125460,0.011125460,0,0,0,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.474302020,0.011302020,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.474478580,0.011478580,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.474478600,0.011478600,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.474655500,0.011655500,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.474832080,0.011832080,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.475008620,0.012008620,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.475185160,0.012185160,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.475361700,0.012361700,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.475538260,0.012538260,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.475715180,0.012715180,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.475891720,0.012891720,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.476068260,0.013068260,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.476244820,0.013244820,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.476421380,0.013421380,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.476598320,0.013598320,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.476774860,0.013774860,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.476951400,0.013951400,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.476951420,0.013951420,0,0,0,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.477127960,0.014127960,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.477304500,0.014304500,0,0,1,1,1,1,1,1,0,0,0,0,0,0
'2026-05-10 21:19:48.477304520,0.014304520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.477304620,0.014304620,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.477304640,0.014304640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.477481060,0.014481060,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.477657960,0.014657960,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.477657980,0.014657980,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.477834520,0.014834520,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.478011060,0.015011060,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.478187600,0.015187600,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.478364120,0.015364120,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.478540640,0.015540640,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.478717560,0.015717560,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.478717580,0.015717580,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.478894120,0.015894120,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.479070700,0.016070700,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.479247260,0.016247260,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.479423820,0.016423820,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.479600760,0.016600760,0,0,1,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.479777320,0.016777320,0,0,0,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.479953880,0.016953880,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.480130440,0.017130440,0,1,1,1,1,1,1,1,1,1,1,1,1,0
